date, pm25, pm10, o3, no2, so2, co
2024/11/1, 27, 11, 33, 8, 1, 2
2024/11/2, 21, 28, 44, 6, 1, 2
2024/11/3, 55, 21, 36, 7, 1, 2
2024/11/4, 34, 24, 39, 5, , 1
2024/11/5, 42, 24, 34, 6, 2, 1
2024/11/6, 31, 14, 35, 4, 1, 1
2024/11/7, 18, 10, 34, 6, 1, 1
2024/11/8, 21, 4, 28, 6, 1, 1
2024/11/9, 13, 11, 27, 6, , 1
2024/11/10, 19, 10, 25, 6, 1, 1
2024/11/11, 28, 6, 25, 7, 1, 1
2024/11/12, 31, 9, 25, 10, 2, 2
2024/11/13, 35, 34, 44, 14, 1, 4
2024/11/14, 80, 44, 8, 12, 1, 3
2024/11/15, 104, , , , , 
2024/10/1, 44, 21, 37, 4, 1, 1
2024/10/2, 21, 9, 36, 3, , 1
2024/10/3, 13, 9, 39, 4, , 1
2024/10/4, 14, 18, 36, 8, 1, 2
2024/10/5, 24, 20, 33, 7, 2, 2
2024/10/6, 25, 12, 22, 8, , 2
2024/10/7, 20, 7, 39, 7, 1, 2
2024/10/8, 15, 18, 36, 9, 1, 2
2024/10/9, 27, 21, 48, 6, 1, 2
2024/10/10, 39, 21, 54, 7, 2, 2
2024/10/11, 38, 14, 40, 7, 1, 2
2024/10/12, 17, 15, 47, 6, 2, 2
2024/10/13, 32, 20, 44, 9, 2, 2
2024/10/14, 39, 21, 33, 9, 2, 2
2024/10/15, 38, 14, 27, 7, 1, 1
2024/10/16, 26, 17, 30, 9, 2, 2
2024/10/17, 33, 19, 27, 11, 2, 2
2024/10/18, 44, 25, 33, 8, 1, 2
2024/10/19, 42, 16, 32, 4, 1, 2
2024/10/20, 23, 16, 29, 7, 1, 2
2024/10/21, 24, 18, 44, 6, 1, 2
2024/10/22, 28, 17, 35, 6, 1, 3
2024/10/23, 33, 7, 33, 5, 1, 1
2024/10/24, 17, 17, 32, 9, 1, 2
2024/10/25, 33, 38, 30, 13, 1, 3
2024/10/26, 60, 33, 29, 7, 1, 2
2024/10/27, 46, 17, 39, 5, , 1
2024/10/28, 23, 21, 40, 6, 1, 2
2024/10/29, 44, 11, 36, 6, 1, 1
2024/10/30, 25, 8, 31, 2, 2, 1
2024/10/31, 17, 13, 25, 7, 1, 2
2024/7/1, 21, 13, 21, 7, 1, 1
2024/7/2, 26, 12, 30, 9, , 2
2024/7/3, 21, 10, 15, 7, , 1
2024/7/4, 16, 7, 5, 6, , 1
2024/7/5, 24, 11, 27, 7, , 1
2024/7/6, 24, 10, 18, 7, , 1
2024/7/7, 21, 11, 24, 8, , 1
2024/7/8, 17, 9, 27, 7, , 1
2024/7/9, 17, 11, 19, 7, , 1
2024/7/10, 21, 11, 20, 7, , 1
2024/7/11, 20, 8, 23, 5, , 1
2024/7/12, 15, 10, 18, 6, , 1
2024/7/13, 25, 12, 30, 6, , 1
2024/7/14, 33, 14, 41, 5, , 1
2024/7/15, 32, 16, 29, 7, , 1
2024/7/16, 37, 14, 37, 6, , 1
2024/7/17, 25, 11, 27, 5, , 1
2024/7/18, 25, 12, 30, 5, , 1
2024/7/19, 26, 16, 30, 7, , 1
